
 Lista de Imóveis da Caixa;;Data de geração:;17/10/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444404872000 ;RJ ;ITABORAI ;AMPLIACAO ;RUA TIRADENTES, N. 2, CASA 02 QD 211 LT14 ;78.142,20;141.000,00;44.58;Casa, 0.00 de área total, 59.01 de área privativa, 160.20 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444404872000
 8444412918626 ;RJ ;ITABORAI ;AMPLIACAO ;RUA MELQUIADES MARIA DA CONCEICAO QUADRA, N. SN, QUADRA 212, LOTE 14, CASA 02 ;89.170,78;160.900,00;44.58;Casa, 58.33 de área total, 58.33 de área privativa, 180.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444412918626
 8444417620307 ;RJ ;ITABORAI ;AMPLIACAO ;RUA TIRADENTES, N. SN, QD 208 LT 17 CS 01 ;110.285,80;199.000,00;44.58;Casa, 0.00 de área total, 66.36 de área privativa, 180.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444417620307
 8555507635488 ;RJ ;ITABORAI ;AMPLIACAO ;RUA QUARENTA E DOIS, N. SN, CS 02, QD 203, LT 06 ;76.479,60;138.000,00;44.58;Casa, 0.00 de área total, 58.43 de área privativa, 180.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555507635488
 8444414446438 ;RJ ;ITABORAI ;CALUGE ;RODOVIA BR-101 KM 289, N. SN, LT 07, QD B17, RUA 01, UNIDADE 07 ;99.756,00;180.000,00;44.58;Casa, 58.68 de área total, 58.68 de área privativa, 381780.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444414446438
 8444404689931 ;RJ ;ITABORAI ;JOAQUIM DE OLIVEIRA ;RUA VINTE E CINCO, N. SN, CS 1 LT 1389 ;83.130,00;150.000,00;44.58;Casa, 0.00 de área total, 62.18 de área privativa, 180.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444404689931
 8444409623181 ;RJ ;ITABORAI ;JOAQUIM DE OLIVEIRA ;RUA TRES, N. 1523, CS 01 LT 1523 ;116.382,00;210.000,00;44.58;Casa, 69.28 de área total, 0.00 de área privativa, 180.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409623181
 8555517859206 ;RJ ;ITABORAI ;CITY AREAL ;RUA N, QUADRA 92, LOTE 16, CASA 02 ;85.346,80;154.000,00;44.58;Casa, 64.76 de área total, 64.76 de área privativa, 298.10 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555517859206
 1555520877114 ;RJ ;ITABORAI ;RECANTO DOS MAGALHAES (CABUCU) ;RUA B, N. S/N, LT 80 ;50.541,39;91.000,00;44.47;Terreno, 1000.00 de área total, 0.00 de área privativa, 1000.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555520877114
 1555533798544 ;RJ ;ITABORAI ;RETIRO SAO JOAQUIM ;ALAMEDA ONOFRE CAMACHO, N. SN, LT 271 QD 12 ;42.006,62;75.633,10;44.47;Terreno, 0.00 de área total, 0.00 de área privativa, 360.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555533798544
 8444400454530 ;RJ ;ITABORAI ;MORADA DO SOL I (ITAMBI) ;ESTRADA MUNICIPAL ITAMBI - PORTO DAS CAIXAS, N. SN, CASA 53, RUA DOS JASMINS ;45.392,66;80.100,00;43.34;Casa, 0.00 de área total, 46.92 de área privativa, 240.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444400454530
 8444402433107 ;RJ ;ITABORAI ;CENTRO (PORTO DAS CAIXAS) ;ESTRADA MUNICIPAL ITAMBI, N. SN, CS 54 ;36.835,49;65.000,00;43.34;Casa, 0.00 de área total, 46.92 de área privativa, 240.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444402433107
 8444415476578 ;RJ ;ITABORAI ;VILA GABRIELA (MANILHA) ;RUA JOSE BEZZ DOS SANTOS, N. 343, CASA 02, QD 13, LT 343 ;65.737,19;116.000,00;43.34;Casa, 0.00 de área total, 56.55 de área privativa, 190.59 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444415476578
 8017470025326 ;RJ ;ITABORAI ;NOVA CIDADE ;AVENIDA GENESIO DA COSTA COTRIM, N. 1027, CS 02 ;121.487,17;214.376,53;43.34;Casa, 0.00 de área total, 73.94 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8017470025326
 8444414596618 ;RJ ;ITABORAI ;ITAVILLE ;RUA BEIJA FLOR, N. S/N, QD 02, LT 78, CS 01, LOT ITAVILLE ;82.086,58;144.850,15;43.34;Casa, 0.00 de área total, 56.53 de área privativa, 225.90 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444414596618
 8444423922476 ;RJ ;ITABORAI ;ITAVILLE ;RUA BEIJA FLOR, N. s/n, QD. 08, LT.260, UNIDADE 02 ;64.626,58;114.040,20;43.34;Casa, 0.00 de área total, 56.30 de área privativa, 225.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423922476
 8444407259644 ;RJ ;ITABORAI ;VILA BRASIL (MANILHA) ;R TRES, N. SN, LT 18, QD 07 ;99.739,19;176.000,00;43.34;Casa, 0.00 de área total, 64.96 de área privativa, 1034.00 de área do terreno,  1 qto(s), varanda, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444407259644
 8444409871720 ;RJ ;ITABORAI ;ZONA RES 2 ;ESTRADA DO CABUCU, N. 108, R INTERNA HIBISCO ;71.404,20;126.000,00;43.33;Casa, 0.00 de área total, 51.49 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409871720
 8444413500803 ;RJ ;ITABORAI ;MARAMBAIA ;ESTRADA ITABORAI  CABUCU, N. SN, UN 49, COND JD MARAMBAIA, CABUCU ;74.237,70;131.000,00;43.33;Casa, 0.00 de área total, 51.49 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413500803
 8444411968280 ;RJ ;ITABORAI ;MARAMBAIA (MANILHA) ;RODOVIA  RJ-104, Apto 205, BLOCO 05 ;73.671,00;130.000,00;43.33;Apartamento, 0.00 de área total, 46.29 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444411968280
 8444422134962 ;RJ ;ITABORAI ;ITAVILLE ;RUA BEIJA FLOR, N. 0, CASA 01 LT 262 QD 08 ;71.970,90;127.000,00;43.33;Casa, 0.00 de área total, 53.82 de área privativa, 225.00 de área do terreno,  2 qto(s), 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422134962
 8444409143562 ;RJ ;ITABORAI ;AMPLIACAO ;AVENIDA RAIMUNDO DE FARIAS, N. SN, Apto 201, QD 79, LT 29 ;98.039,10;173.000,00;43.33;Apartamento, 0.00 de área total, 49.90 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409143562
 8444413650104 ;RJ ;ITABORAI ;TRES PONTES ;ESTRADA SANTA TEREZINHA, N. SN, UNIDADE 197 ;134.874,60;238.000,00;43.33;Casa, 0.00 de área total, 69.94 de área privativa, 0.00 de área do terreno,  2 qto(s).;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413650104
 10142304 ;RJ ;ITABORAI ;CENTRO ;AVENIDA 22 DE MAIO, N. 5990, Apto 1010, Bl. 2 - ALA B - SUITE ;73.295,70;129.000,00;43.19;Apartamento, 50.97 de área total, 27.42 de área privativa, 0.00 de área do terreno,  1 qto(s), WC.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142304
 10142302 ;RJ ;ITABORAI ;CENTRO ;AVENIDA 22 DE MAIO, N. 5990, Apto 1003, Bl. 2 - ALA B - SUITE ;73.295,70;128.000,00;42.74;Apartamento, 49.97 de área total, 26.89 de área privativa, 0.00 de área do terreno,  1 qto(s), WC.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142302
 10142305 ;RJ ;ITABORAI ;CENTRO ;AVENIDA 22 DE MAIO, N. 5990, Apto 1017, Bl. 2 - ALA B - SUITE ;73.295,70;128.000,00;42.74;Apartamento, 49.97 de área total, 26.89 de área privativa, 0.00 de área do terreno,  1 qto(s), WC.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142305
 1444411936681 ;RJ ;ITABORAI ;QUISSAMA ;AVENIDA GENESIO DA COSTA COTRIM, CS 11 QD A LT 11 ;96.899,99;167.000,00;41.98;Casa, 0.00 de área total, 74.91 de área privativa, 132.99 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444411936681
 8444415446520 ;RJ ;ITABORAI ;CALUGE ;RODOVIA GOVERNADOR MARIO COVAS, N. SN, QD 41 LT 07 ;113.056,80;193.000,00;41.43;Casa, 0.00 de área total, 61.46 de área privativa, 240.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444415446520
 10142271 ;RJ ;ITABORAI ;CENTRO ;AVENIDA 22 DE MAIO, N. 5990, Apto 201, Bl. 2 - ALA B - SUITE ;76.739,80;131.000,00;41.42;Apartamento, 51.80 de área total, 27.87 de área privativa, 0.00 de área do terreno,  1 qto(s), WC.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142271
 10142272 ;RJ ;ITABORAI ;CENTRO ;AVENIDA 22 DE MAIO, N. 5990, Apto 209, Bl. 2 - ALA B - SUITE ;79.668,80;136.000,00;41.42;Apartamento, 54.96 de área total, 29.57 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142272
 10142273 ;RJ ;ITABORAI ;CENTRO ;AVENIDA 22 DE MAIO, N. 5990, Apto 210, Bl. 2 - ALA B - SUITE ;75.568,20;129.000,00;41.42;Apartamento, 50.94 de área total, 27.42 de área privativa, 0.00 de área do terreno,  1 qto(s), WC.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142273
 10142274 ;RJ ;ITABORAI ;CENTRO ;AVENIDA 22 DE MAIO, N. 5990, Apto 217, Bl. 2 - ALA B - SUITE ;74.982,40;128.000,00;41.42;Apartamento, 49.97 de área total, 26.89 de área privativa, 0.00 de área do terreno,  1 qto(s), WC.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142274
 10142275 ;RJ ;ITABORAI ;CENTRO ;AVENIDA 22 DE MAIO, N. 5990, Apto 303, Bl. 2 - ALA B - SUITE ;74.982,40;128.000,00;41.42;Apartamento, 49.97 de área total, 26.89 de área privativa, 0.00 de área do terreno,  1 qto(s), WC.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142275
 10142277 ;RJ ;ITABORAI ;CENTRO ;AVENIDA 22 DE MAIO, N. 5990, Apto 305, Bl. 2 - ALA B - SUITE ;74.982,40;128.000,00;41.42;Apartamento, 49.97 de área total, 26.89 de área privativa, 0.00 de área do terreno,  1 qto(s), WC.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142277
 10142278 ;RJ ;ITABORAI ;CENTRO ;AVENIDA 22 DE MAIO, N. 5990, Apto 310, Bl. 2 - ALA B - SUITE ;75.568,20;129.000,00;41.42;Apartamento, 50.94 de área total, 27.42 de área privativa, 0.00 de área do terreno,  1 qto(s), WC.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142278
 10142279 ;RJ ;ITABORAI ;CENTRO ;AVENIDA 22 DE MAIO, N. 5990, Apto 312, Bl. 2 - ALA B - SUITE ;74.982,40;128.000,00;41.42;Apartamento, 49.97 de área total, 26.89 de área privativa, 0.00 de área do terreno,  1 qto(s), WC.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142279
 10142280 ;RJ ;ITABORAI ;CENTRO ;AVENIDA 22 DE MAIO, N. 5990, Apto 408, Bl. 2 - ALA B - SUITE ;74.982,40;128.000,00;41.42;Apartamento, 49.97 de área total, 26.89 de área privativa, 0.00 de área do terreno,  1 qto(s), WC.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142280
 10142281 ;RJ ;ITABORAI ;CENTRO ;AVENIDA 22 DE MAIO, N. 5990, Apto 409, Bl. 2 - ALA B - SUITE ;79.668,80;136.000,00;41.42;Apartamento, 54.96 de área total, 29.57 de área privativa, 0.00 de área do terreno,  1 qto(s), WC.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142281
 10142282 ;RJ ;ITABORAI ;CENTRO ;AVENIDA 22 DE MAIO, N. 5990, Apto 421, Bl. 2 - ALA B - SUITE ;74.982,40;128.000,00;41.42;Apartamento, 49.97 de área total, 26.89 de área privativa, 0.00 de área do terreno,  1 qto(s), WC.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142282
 10142283 ;RJ ;ITABORAI ;CENTRO ;AVENIDA 22 DE MAIO, N. 5990, Apto 506, Bl. 2 - ALA B - SUITE ;74.982,40;128.000,00;41.42;Apartamento, 49.97 de área total, 26.89 de área privativa, 0.00 de área do terreno,  1 qto(s), WC.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142283
 10142284 ;RJ ;ITABORAI ;CENTRO ;AVENIDA 22 DE MAIO, N. 5990, Apto 508, Bl. 2 - ALA B - SUITE ;74.982,40;128.000,00;41.42;Apartamento, 49.97 de área total, 26.89 de área privativa, 0.00 de área do terreno,  1 qto(s), WC.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142284
 10142285 ;RJ ;ITABORAI ;CENTRO ;AVENIDA 22 DE MAIO, N. 5990, Apto 509, Bl. 2 - ALA B - SUITE ;79.668,80;136.000,00;41.42;Apartamento, 54.96 de área total, 29.57 de área privativa, 0.00 de área do terreno,  1 qto(s), WC.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142285
 10142286 ;RJ ;ITABORAI ;CENTRO ;AVENIDA 22 DE MAIO, N. 5990, Apto 606, Bl. 2 - ALA B - SUITE ;74.982,40;128.000,00;41.42;Apartamento, 49.97 de área total, 26.89 de área privativa, 0.00 de área do terreno,  1 qto(s), WC.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142286
 10142287 ;RJ ;ITABORAI ;CENTRO ;AVENIDA 22 DE MAIO, N. 5990, Apto 615, Bl. 2 - ALA B - SUITE ;74.982,40;128.000,00;41.42;Apartamento, 49.97 de área total, 26.89 de área privativa, 0.00 de área do terreno,  1 qto(s), WC.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142287
 10142288 ;RJ ;ITABORAI ;CENTRO ;AVENIDA 22 DE MAIO, N. 5990, Apto 706, Bl. 2 - ALA B - SUITE ;74.982,40;128.000,00;41.42;Apartamento, 49.97 de área total, 26.89 de área privativa, 0.00 de área do terreno,  1 qto(s), WC.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142288
 10142291 ;RJ ;ITABORAI ;CENTRO ;AVENIDA 22 DE MAIO, N. 5990, Apto 711, Bl. 2 - ALA B - SUITE ;74.982,40;128.000,00;41.42;Apartamento, 49.97 de área total, 26.89 de área privativa, 0.00 de área do terreno,  1 qto(s), WC.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142291
 10142292 ;RJ ;ITABORAI ;CENTRO ;AVENIDA 22 DE MAIO, N. 5990, Apto 713, Bl. 2 - ALA B - SUITE ;74.982,40;128.000,00;41.42;Apartamento, 49.97 de área total, 26.89 de área privativa, 0.00 de área do terreno,  1 qto(s), WC.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142292
 10142293 ;RJ ;ITABORAI ;CENTRO ;AVENIDA 22 DE MAIO, N. 5990, Apto 802, Bl. 2 - ALA B - SUITE ;74.982,40;128.000,00;41.42;Apartamento, 49.97 de área total, 26.89 de área privativa, 0.00 de área do terreno,  1 qto(s), WC.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142293
 10142294 ;RJ ;ITABORAI ;CENTRO ;AVENIDA 22 DE MAIO, N. 5990, Apto 803, Bl. 2 - ALA B - SUITE ;74.982,40;128.000,00;41.42;Apartamento, 49.97 de área total, 26.89 de área privativa, 0.00 de área do terreno,  1 qto(s), WC.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142294
 10142295 ;RJ ;ITABORAI ;CENTRO ;AVENIDA 22 DE MAIO, N. 5990, Apto 804, Bl. 2 - ALA B - SUITE ;74.982,40;128.000,00;41.42;Apartamento, 49.97 de área total, 26.89 de área privativa, 0.00 de área do terreno,  1 qto(s), WC.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142295
 10142296 ;RJ ;ITABORAI ;CENTRO ;AVENIDA 22 DE MAIO, N. 5990, Apto 805, Bl. 2 - ALA B - SUITE ;74.982,40;128.000,00;41.42;Apartamento, 49.97 de área total, 26.89 de área privativa, 0.00 de área do terreno,  1 qto(s), WC.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142296
 10142298 ;RJ ;ITABORAI ;CENTRO ;AVENIDA 22 DE MAIO, N. 5990, Apto 813, Bl. 2 - ALA B - SUITE ;74.982,40;128.000,00;41.42;Apartamento, 49.97 de área total, 26.89 de área privativa, 0.00 de área do terreno,  1 qto(s), WC.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142298
 10142299 ;RJ ;ITABORAI ;CENTRO ;AVENIDA 22 DE MAIO, N. 5990, Apto 820, Bl. 2 - ALA B - SUITE ;74.982,40;128.000,00;41.42;Apartamento, 49.97 de área total, 26.89 de área privativa, 0.00 de área do terreno,  1 qto(s), WC.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142299
 10142300 ;RJ ;ITABORAI ;CENTRO ;AVENIDA 22 DE MAIO, N. 5990, Apto 901, Bl. 2 - ALA B - SUITE ;76.739,80;131.000,00;41.42;Apartamento, 51.80 de área total, 27.87 de área privativa, 0.00 de área do terreno,  1 qto(s), WC.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142300
 10142301 ;RJ ;ITABORAI ;CENTRO ;AVENIDA 22 DE MAIO, N. 5990, Apto 910, Bl. 2 - ALA B - SUITE ;75.568,20;129.000,00;41.42;Apartamento, 50.94 de área total, 27.42 de área privativa, 0.00 de área do terreno,  1 qto(s), WC.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142301
 10142306 ;RJ ;ITABORAI ;CENTRO ;AVENIDA 22 DE MAIO, N. 5990, Bl. 1 - ALA A SALA 106 - OFFICE 1000 ;57.408,40;98.000,00;41.42;Sala, 47.40 de área total, 23.04 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142306
 10142307 ;RJ ;ITABORAI ;CENTRO ;AVENIDA 22 DE MAIO, N. 5990, Bl. 1 - ALA A SALA 119 - OFFICE 1000 ;57.408,40;98.000,00;41.42;Sala, 47.21 de área total, 22.94 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142307
 10142309 ;RJ ;ITABORAI ;CENTRO ;AVENIDA 22 DE MAIO, N. 5990, Bl. 1 - ALA A SALA 206 - OFFICE 1000 ;55.065,20;94.000,00;41.42;Sala, 45.25 de área total, 24.36 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142309
 10142310 ;RJ ;ITABORAI ;CENTRO ;AVENIDA 22 DE MAIO, N. 5990, Bl. 1 - ALA A SALA 218 - OFFICE 1000 ;55.065,20;94.000,00;41.42;Sala, 45.24 de área total, 24.35 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142310
 10142311 ;RJ ;ITABORAI ;CENTRO ;AVENIDA 22 DE MAIO, N. 5990, Bl. 1 - ALA A SALA 319 - OFFICE 1000 ;55.065,20;94.000,00;41.42;Sala, 45.08 de área total, 24.27 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142311
 10142312 ;RJ ;ITABORAI ;CENTRO ;AVENIDA 22 DE MAIO, N. 5990, Bl. 1 - ALA A SALA 320 - OFFICE 1000 ;55.065,20;94.000,00;41.42;Sala, 45.08 de área total, 24.27 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142312
 10142313 ;RJ ;ITABORAI ;CENTRO ;AVENIDA 22 DE MAIO, N. 5990, Bl. 1 - ALA A SALA 324 - OFFICE 1000 ;55.065,20;94.000,00;41.42;Sala, 45.24 de área total, 24.35 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142313
 10142314 ;RJ ;ITABORAI ;CENTRO ;AVENIDA 22 DE MAIO, N. 5990, Bl. 1 - ALA A SALA 325 - OFFICE 1000 ;55.065,20;94.000,00;41.42;Sala, 45.24 de área total, 24.35 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142314
 10142315 ;RJ ;ITABORAI ;CENTRO ;AVENIDA 22 DE MAIO, N. 5990, Bl. 1 - ALA A SALA 326 - OFFICE 1000 ;55.065,20;94.000,00;41.42;Sala, 46.56 de área total, 25.05 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142315
 10142316 ;RJ ;ITABORAI ;CENTRO ;AVENIDA 22 DE MAIO, N. 5990, Bl. 1 - ALA A SALA 402 - OFFICE 1000 ;55.065,20;94.000,00;41.42;Sala, 44.26 de área total, 23.82 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142316
 10142317 ;RJ ;ITABORAI ;CENTRO ;AVENIDA 22 DE MAIO, N. 5990, Bl. 1 - ALA A SALA 410 - OFFICE 1000 ;63.852,20;109.000,00;41.42;Sala, 72.59 de área total, 39.07 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142317
